given_name,family_name,date_of_birth,place_of_birth
Alan,Styles,1912-10-27,Hawick
Janet,Wallace,1939-04-12,Bathgate
Nancy,Walker,1840-03-20,Ardrossan
Violet,Williams,1987-10-05,Alloa
Florence,Walker,1942-04-20,Jedburgh
Elsie,Duff,1987-02-06,Motherwell
Alexander,Hopkins,1874-11-14,Greenock
Nancy,Campbell,1984-01-08,Kinross
Leonard,Scott,1854-02-12,Wick
Ronald,Hyam,1988-08-07,Kirriemuir
Michael,Martin,1880-10-31,Dumfries
Ian,Walker,1861-03-09,Thurso
Kathleen,Craig,1846-03-27,Kirriemuir
Arthur,Allan,1977-04-25,Kinross
Arthur,Jeffery,1942-12-29,Glasgow
Steven,Clements,1845-08-16,Lurgan
Gladys,Douglas,1861-04-23,Peterhead
Jane,Rogerson,1871-03-12,Stirling
Mary,Shaw,1936-07-02,Bangor
Ruth,Hamilton,1943-07-04,Lerwick
Alan,Stewart,1874-01-21,Ballymena
Steven,Rogerson,1955-02-24,Peterhead
Daniel,Barth,1968-04-22,Kirriemuir
Susan,Martin,1868-09-01,Armagh
Christopher,Wallis,1941-08-09,Port Glasgow
Sarah,Denton,1924-08-20,Grantown-on-Spey
Ethel,Jeffery,1975-01-01,Buckie
Harold,Paterson,1919-01-25,Hawick
Anne,Hopkins,1954-03-15,Airdrie
Ruth,Clark,1866-11-06,Forres
Leonard,Wallis,1920-05-20,Aberdeen
Christopher,MacDonald,1935-03-11,Newton Stewart
Arthur,Clark,1918-01-13,Wishaw
Charles,Kennedy,1888-12-25,Motherwell
Robert,Ferguson,1876-12-22,Banff
Patrick,Simpson,1968-03-30,Keith
Thirza,Ross,1942-03-08,Crieff
Hilda,Norman,1881-01-04,Blairgowrie
Elizabeth,Helm,1847-10-09,Ballymoney
Alice,MacDonald,1849-11-23,Bridge of Allan
Leonard,Hay,1920-01-20,Strabane
William,Clements,1971-01-07,Nairn
Lily,Findlay,1851-05-08,Golspie
Jose,Grant,1863-04-30,Irvine
Ada,Helm,1955-11-14,Huntly
George,Graham,1849-12-08,Lockerbie
Hugh,Ross,1907-02-23,Anstruther
Susan,Penney,1915-08-31,Ballymoney
Sheila,Taylor,1855-01-27,Larne
Kenneth,Doyle,1890-07-14,Falkirk
Frederick,Clements,1872-06-29,Inverness
Alice,Wood,1942-09-24,Blairgowrie
Gladys,Paterson,1890-12-10,Armagh
Stanley,Scott,1982-01-21,Glasgow
Dorothy,Campbell,1885-11-22,West Calder
Elizabeth,Hetherington,1896-04-28,Stonehaven
Margaret,Duff,1958-02-25,Musselburgh
Edith,Gray,1960-11-25,Bridge of Allan
Richard,Black,1920-09-02,Dunfermline
Donald,Wallis,1889-06-14,Lanark
Kathleen,Wallis,1859-11-09,Hawick
Edith,Currie,1892-10-05,Portsoy
William,Hopkins,1984-02-16,Stonehaven
James,Hunter,1875-06-17,Helensburgh
Patrick,Wallis,1875-11-22,Kirkintilloch
Jose,Bentham,1879-04-19,Annan
Leonard,Williamson,1935-12-29,West Calder
